mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000,100,1,1,10,0.000577,0.001357,0.000116,0.000004,79
1,1000,100,2,1,10,0.000175,0.000136,0.000226,0.000004,79
1,1000,100,3,1,10,0.000161,0.000125,0.000334,0.000003,79
1,1000,100,4,1,10,0.000167,0.000135,0.000444,0.000004,79
1,1000,100,5,1,10,0.000493,0.000496,0.000556,0.000005,79
1,1000,100,6,1,10,0.000163,0.000125,0.000661,0.000003,79
1,1000,100,7,1,10,0.000463,0.000502,0.000774,0.000005,79
1,1000,100,8,1,10,0.000164,0.000130,0.000880,0.000004,79
1,1000,100,9,1,10,0.000162,0.000124,0.000989,0.000003,79
1,1000,100,10,1,10,0.000166,0.000135,0.001098,0.000003,79
1,1000,100,11,1,10,0.000167,0.000135,0.001207,0.000004,79
1,1000,100,12,1,10,0.000166,0.000123,0.001316,0.000003,79
1,1000,100,13,1,10,0.000164,0.000127,0.001425,0.000003,79
1,1000,100,14,1,10,0.000433,0.000515,0.001538,0.000005,79
1,1000,100,15,1,10,0.000164,0.000132,0.001643,0.000003,79
1,1000,100,16,1,10,0.000430,0.000509,0.001755,0.000005,79
1,1000,100,17,1,10,0.000165,0.000131,0.001863,0.000006,79
1,1000,100,18,1,10,0.000165,0.000134,0.001970,0.000003,79
1,1000,100,19,1,10,0.000162,0.000126,0.002081,0.000002,79
1,1000,100,20,1,10,0.000167,0.000139,0.002189,0.000002,79
1,1000,100,21,1,10,0.000414,0.000514,0.002300,0.000004,79
1,1000,100,22,1,10,0.000172,0.000135,0.002408,0.000002,79
1,1000,100,23,1,10,0.000402,0.000505,0.002519,0.000004,79
1,1000,100,24,1,10,0.000402,0.000549,0.002628,0.000007,79
1,1000,100,25,1,10,0.000162,0.000124,0.002735,0.000002,79
1,1000,100,26,1,10,0.000168,0.000137,0.002846,0.000007,79
1,1000,100,27,1,10,0.000165,0.000134,0.002953,0.000002,79
1,1000,100,28,1,10,0.000387,0.000522,0.003064,0.000004,79
1,1000,100,29,1,10,0.000168,0.000134,0.003003,0.000003,79
1,1000,100,30,1,10,0.000391,0.000533,0.003105,0.000005,79
