mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000,1,10000,1,10,0.000032,0.000059,0.021632,0.000299,181
1,1000,2,5000,1,10,0.000034,0.000063,0.011803,0.000041,181
1,1000,4,2500,1,10,0.000040,0.000064,0.010580,0.000010,181
1,1000,5,2000,1,10,0.000041,0.000066,0.010165,0.000016,181
1,1000,8,1250,1,10,0.000045,0.000066,0.009400,0.000014,181
1,1000,10,1000,1,10,0.000047,0.000064,0.009235,0.000015,181
1,1000,16,625,1,10,0.000058,0.000070,0.009045,0.000040,181
1,1000,20,500,1,10,0.000063,0.000072,0.008963,0.000023,181
1,1000,25,400,1,10,0.000074,0.000079,0.008891,0.000018,181
1,1000,40,250,1,10,0.000101,0.000098,0.008811,0.000011,181
1,1000,50,200,1,10,0.000121,0.000114,0.008773,0.000005,181
1,1000,80,125,1,10,0.000172,0.000134,0.008726,0.000005,181
1,1000,100,100,1,10,0.000210,0.000164,0.008766,0.000004,181
1,1000,125,80,1,10,0.000249,0.000185,0.008750,0.000003,181
1,1000,200,50,1,10,0.000386,0.000266,0.008733,0.000001,181
1,1000,250,40,1,10,0.000479,0.000328,0.008727,0.000000,181
1,1000,400,25,1,10,0.000761,0.000509,0.008718,0.000001,185
1,1000,500,20,1,10,0.000943,0.000621,0.008716,0.000000,185
1,1000,625,16,1,10,0.001165,0.000755,0.008709,0.000002,187
1,1000,1000,10,1,10,0.001859,0.001169,0.008701,0.000000,189
1,1000,1250,8,1,10,0.002313,0.001429,0.008699,0.000000,191
1,1000,2000,5,1,10,0.003769,0.002246,0.008697,0.000001,195
1,1000,2500,4,1,10,0.005029,0.002715,0.008697,0.000000,199
1,1000,5000,2,1,10,0.011805,0.005169,0.008700,0.000000,215
1,1000,10000,1,1,10,0.027461,0.010621,0.008720,0.000001,251
1,1000000,1,10000,1,10,0.000045,0.000094,0.099910,0.000097,183
1,1000000,2,5000,1,10,0.000045,0.000090,0.097667,0.000019,183
1,1000000,4,2500,1,10,0.000049,0.000091,0.096883,0.000047,183
1,1000000,5,2000,1,10,0.000050,0.000092,0.096641,0.000028,183
1,1000000,8,1250,1,10,0.000059,0.000098,0.096825,0.001100,183
1,1000000,10,1000,1,10,0.000059,0.000094,0.096771,0.001310,183
1,1000000,16,625,1,10,0.000068,0.000097,0.096489,0.000646,183
1,1000000,20,500,1,10,0.000075,0.000106,0.096874,0.000534,183
1,1000000,25,400,1,10,0.000089,0.000116,0.098732,0.000511,183
1,1000000,40,250,1,10,0.000110,0.000123,0.100845,0.000806,183
1,1000000,50,200,1,10,0.000129,0.000146,0.100449,0.000998,183
1,1000000,80,125,1,10,0.000173,0.000159,0.099809,0.000884,183
1,1000000,100,100,1,10,0.000209,0.000186,0.099286,0.000858,183
1,1000000,125,80,1,10,0.000246,0.000206,0.098795,0.000934,183
1,1000000,200,50,1,10,0.000375,0.000290,0.099014,0.000758,183
1,1000000,250,40,1,10,0.000510,0.000420,0.099018,0.000807,183
1,1000000,400,25,1,10,0.000757,0.000548,0.099193,0.000698,187
1,1000000,500,20,1,10,0.000869,0.000589,0.099276,0.000668,187
1,1000000,625,16,1,10,0.001075,0.000708,0.099239,0.000600,189
1,1000000,1000,10,1,10,0.001865,0.001166,0.099259,0.000220,191
1,1000000,1250,8,1,10,0.002315,0.001421,0.099262,0.000307,193
1,1000000,2000,5,1,10,0.003556,0.002136,0.099278,0.000148,197
1,1000000,2500,4,1,10,0.005175,0.003204,0.099238,0.000137,201
1,1000000,5000,2,1,10,0.011608,0.005312,0.099242,0.000062,217
1,1000000,10000,1,1,10,0.027506,0.010844,0.099294,0.000046,253
1,10000000,1,10000,1,10,0.000044,0.000082,2.054327,0.000064,219
1,10000000,2,5000,1,10,0.000046,0.000082,2.053839,0.000077,219
1,10000000,4,2500,1,10,0.000050,0.000085,2.052717,0.000089,219
1,10000000,5,2000,1,10,0.000051,0.000080,2.052146,0.000101,219
1,10000000,8,1250,1,10,0.000056,0.000082,2.051113,0.000073,219
1,10000000,10,1000,1,10,0.000058,0.000082,2.050975,0.000120,219
1,10000000,16,625,1,10,0.000071,0.000092,2.050594,0.000065,219
1,10000000,20,500,1,10,0.000074,0.000090,2.050436,0.000049,219
1,10000000,25,400,1,10,0.000091,0.000118,2.050325,0.000061,219
1,10000000,40,250,1,10,0.000112,0.000119,2.050064,0.000125,219
1,10000000,50,200,1,10,0.000129,0.000132,2.050199,0.000055,219
1,10000000,80,125,1,10,0.000180,0.000152,2.049994,0.000054,219
1,10000000,100,100,1,10,0.000226,0.000222,2.050113,0.000047,219
1,10000000,125,80,1,10,0.000269,0.000243,2.050067,0.000070,219
1,10000000,200,50,1,10,0.000376,0.000259,2.049951,0.000042,219
1,10000000,250,40,1,10,0.000534,0.000419,2.050072,0.000055,219
1,10000000,400,25,1,10,0.000747,0.000552,2.050007,0.000031,223
1,10000000,500,20,1,10,0.000896,0.000597,2.050131,0.000057,223
1,10000000,625,16,1,10,0.001112,0.000736,2.050067,0.000053,225
1,10000000,1000,10,1,10,0.001783,0.001071,2.050058,0.000068,227
1,10000000,1250,8,1,10,0.002294,0.001611,2.050050,0.000041,229
1,10000000,2000,5,1,10,0.003650,0.002024,2.049931,0.000059,233
1,10000000,2500,4,1,10,0.005013,0.003070,2.050006,0.000057,237
1,10000000,5000,2,1,10,0.011466,0.005259,2.050014,0.000051,253
1,10000000,10000,1,1,10,0.026940,0.011479,2.049933,0.000068,289
