mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000,100,1,1,10,0.000324,0.000209,0.000195,0.000007,107
1,1000,100,2,1,10,0.000321,0.000202,0.000273,0.000006,107
1,1000,100,3,1,10,0.000324,0.000207,0.000376,0.000005,107
1,1000,100,4,1,10,0.000328,0.000213,0.000491,0.000005,107
1,1000,100,5,1,10,0.000340,0.000214,0.000610,0.000006,107
1,1000,100,6,1,10,0.000332,0.000205,0.000727,0.000004,107
1,1000,100,7,1,10,0.000331,0.000188,0.000844,0.000009,107
1,1000,100,8,1,10,0.000337,0.000204,0.000958,0.000007,107
1,1000,100,9,1,10,0.000337,0.000209,0.001072,0.000004,107
1,1000,100,10,1,10,0.000330,0.000207,0.001191,0.000004,107
1,1000,100,11,1,10,0.000323,0.000194,0.001306,0.000004,107
1,1000,100,12,1,10,0.000486,0.000241,0.001426,0.000005,107
1,1000,100,13,1,10,0.000488,0.000242,0.001540,0.000004,107
1,1000,100,14,1,10,0.000473,0.000237,0.001658,0.000003,107
1,1000,100,15,1,10,0.000333,0.000197,0.001773,0.000004,107
1,1000,100,16,1,10,0.000332,0.000212,0.001890,0.000004,107
1,1000,100,17,1,10,0.000343,0.000188,0.002007,0.000007,107
1,1000,100,18,1,10,0.000345,0.000219,0.002121,0.000003,107
1,1000,100,19,1,10,0.000328,0.000204,0.002240,0.000005,107
1,1000,100,20,1,10,0.000342,0.000227,0.002355,0.000004,107
1,1000,100,21,1,10,0.000331,0.000214,0.002470,0.000002,107
1,1000,100,22,1,10,0.000334,0.000211,0.002588,0.000003,107
1,1000,100,23,1,10,0.000432,0.000170,0.002707,0.000002,107
1,1000,100,24,1,10,0.000333,0.000203,0.002820,0.000003,107
1,1000,100,25,1,10,0.000323,0.000183,0.002936,0.000004,107
1,1000,100,26,1,10,0.000332,0.000205,0.003051,0.000003,107
1,1000,100,27,1,10,0.000339,0.000202,0.003169,0.000003,107
1,1000,100,28,1,10,0.000341,0.000226,0.003284,0.000003,107
1,1000,100,29,1,10,0.000322,0.000186,0.003401,0.000005,107
1,1000,100,30,1,10,0.000327,0.000194,0.003515,0.000005,107
1,1000,100,31,1,10,0.000337,0.000200,0.003635,0.000004,107
1,1000,100,32,1,10,0.000456,0.000240,0.003753,0.000007,107
1,1000,100,33,1,10,0.000493,0.000229,0.003933,0.000194,107
1,1000,100,34,1,10,0.000375,0.000291,0.003979,0.000003,107
1,1000,100,35,1,10,0.000341,0.000196,0.004101,0.000008,107
1,1000,100,36,1,10,0.000330,0.000178,0.004214,0.000004,107
1,1000,100,37,1,10,0.000382,0.000282,0.004330,0.000006,107
1,1000,100,38,1,10,0.000333,0.000204,0.004449,0.000008,107
1,1000,100,39,1,10,0.000346,0.000200,0.004563,0.000008,107
1,1000,100,40,1,10,0.000427,0.000172,0.004683,0.000008,107
1,1000000,100,1,1,10,0.000339,0.000204,0.001710,0.000005,109
1,1000000,100,2,1,10,0.000331,0.000209,0.003265,0.000008,109
1,1000000,100,3,1,10,0.000319,0.000195,0.004924,0.000074,109
1,1000000,100,4,1,10,0.000352,0.000205,0.006652,0.000332,109
1,1000000,100,5,1,10,0.000350,0.000202,0.008586,0.000564,109
1,1000000,100,6,1,10,0.000390,0.000198,0.010453,0.000836,109
1,1000000,100,7,1,10,0.000366,0.000213,0.012528,0.000576,109
1,1000000,100,8,1,10,0.000352,0.000193,0.014297,0.001029,109
1,1000000,100,9,1,10,0.000466,0.000228,0.016078,0.001514,109
1,1000000,100,10,1,10,0.000500,0.000236,0.017703,0.001043,109
1,1000000,100,11,1,10,0.000359,0.000201,0.019784,0.001178,109
1,1000000,100,12,1,10,0.000368,0.000210,0.021568,0.001253,109
1,1000000,100,13,1,10,0.000353,0.000207,0.023722,0.001024,109
1,1000000,100,14,1,10,0.000380,0.000198,0.025416,0.001452,109
1,1000000,100,15,1,10,0.000346,0.000181,0.027735,0.001238,109
