mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000,1,10000,1,10,0.010415,0.031145,0.025810,0.002923,107
1,1000,2,5000,1,10,0.000066,0.000092,0.013612,0.000318,107
1,1000,4,2500,1,10,0.000070,0.000095,0.011336,0.000025,107
1,1000,5,2000,1,10,0.000073,0.000085,0.011111,0.000060,107
1,1000,8,1250,1,10,0.000072,0.000088,0.010837,0.000062,107
1,1000,10,1000,1,10,0.000097,0.000101,0.011162,0.000070,107
1,1000,16,625,1,10,0.000162,0.000202,0.011175,0.000031,107
1,1000,20,500,1,10,0.000154,0.000123,0.011151,0.000042,107
1,1000,25,400,1,10,0.000170,0.000122,0.011262,0.000478,107
1,1000,40,250,1,10,0.000235,0.000121,0.011082,0.000208,107
1,1000,50,200,1,10,0.000305,0.000191,0.011197,0.000078,107
1,1000,80,125,1,10,0.000268,0.000157,0.011199,0.000022,107
1,1000,100,100,1,10,0.000383,0.000292,0.011626,0.000019,107
1,1000,125,80,1,10,0.000415,0.000213,0.012231,0.000032,107
1,1000,200,50,1,10,0.000641,0.000268,0.012990,0.000041,107
1,1000,250,40,1,10,0.000783,0.000327,0.013002,0.000009,107
1,1000,400,25,1,10,0.001296,0.000528,0.013081,0.000009,111
1,1000,500,20,1,10,0.001551,0.000587,0.013091,0.000018,111
1,1000,625,16,1,10,0.001917,0.000763,0.013113,0.000013,113
1,1000,1000,10,1,10,0.003351,0.001107,0.013147,0.000037,115
1,1000,1250,8,1,10,0.004157,0.001407,0.013155,0.000028,117
1,1000,2000,5,1,10,0.007009,0.002263,0.013173,0.000060,121
1,1000,2500,4,1,10,0.008544,0.002757,0.013184,0.000070,125
1,1000,5000,2,1,10,0.020033,0.004704,0.014620,0.000052,141
1,1000,10000,1,1,10,0.044905,0.008498,0.016597,0.000037,175
1,1000000,1,10000,1,10,0.000095,0.000108,0.166994,0.000585,109
1,1000000,2,5000,1,10,0.000100,0.000088,0.162353,0.000815,109
1,1000000,4,2500,1,10,0.000138,0.000110,0.159879,0.000811,109
1,1000000,5,2000,1,10,0.000113,0.000098,0.159882,0.001103,109
1,1000000,8,1250,1,10,0.000118,0.000093,0.167255,0.000757,109
1,1000000,10,1000,1,10,0.000111,0.000101,0.160355,0.001089,109
1,1000000,16,625,1,10,0.000125,0.000095,0.161078,0.000795,109
1,1000000,20,500,1,10,0.000141,0.000094,0.166914,0.000964,109
1,1000000,25,400,1,10,0.000194,0.000083,0.162018,0.000657,109
1,1000000,40,250,1,10,0.000225,0.000129,0.162085,0.000791,109
1,1000000,50,200,1,10,0.000242,0.000128,0.162234,0.001032,109
1,1000000,80,125,1,10,0.000319,0.000131,0.164332,0.002524,109
1,1000000,100,100,1,10,0.000376,0.000192,0.166940,0.001113,109
1,1000000,125,80,1,10,0.000437,0.000177,0.168213,0.001594,109
1,1000000,200,50,1,10,0.000833,0.000272,0.167607,0.000800,109
1,1000000,250,40,1,10,0.001195,0.000423,0.168476,0.001360,109
1,1000000,400,25,1,10,0.001412,0.000453,0.168935,0.000860,113
1,1000000,500,20,1,10,0.001836,0.000564,0.169821,0.001215,113
1,1000000,625,16,1,10,0.002156,0.000609,0.169783,0.001290,115
1,1000000,1000,10,1,10,0.003594,0.000873,0.171111,0.001068,117
1,1000000,1250,8,1,10,0.005205,0.001324,0.172180,0.001263,119
1,1000000,2000,5,1,10,0.010385,0.002561,0.170584,0.001106,123
1,1000000,2500,4,1,10,0.010592,0.002490,0.170858,0.001105,127
1,1000000,5000,2,1,10,0.020991,0.004188,0.171462,0.000848,143
1,1000000,10000,1,1,10,0.048422,0.014122,0.173333,0.000794,177
1,10000000,1,10000,1,10,0.000107,0.000103,3.217570,0.005336,145
1,10000000,2,5000,1,10,0.000108,0.000110,3.201903,0.002811,145
1,10000000,4,2500,1,10,0.000126,0.000117,3.198087,0.000620,145
1,10000000,5,2000,1,10,0.000113,0.000084,3.200911,0.001327,145
1,10000000,8,1250,1,10,0.000134,0.000123,3.197929,0.001849,145
1,10000000,10,1000,1,10,0.000131,0.000104,3.197909,0.000442,145
1,10000000,16,625,1,10,0.000145,0.000085,3.200145,0.001386,145
1,10000000,20,500,1,10,0.000170,0.000133,3.199911,0.001392,145
1,10000000,25,400,1,10,0.000181,0.000107,3.199810,0.001503,145
1,10000000,40,250,1,10,0.000206,0.000097,3.199664,0.001463,145
1,10000000,50,200,1,10,0.000274,0.000187,3.198440,0.001090,145
1,10000000,80,125,1,10,0.000344,0.000137,3.198741,0.001149,145
1,10000000,100,100,1,10,0.000438,0.000187,3.201142,0.001499,145
1,10000000,125,80,1,10,0.000527,0.000216,3.202313,0.000859,145
1,10000000,200,50,1,10,0.000780,0.000303,3.205108,0.001158,145
1,10000000,250,40,1,10,0.001001,0.000466,3.205480,0.001383,145
1,10000000,400,25,1,10,0.001637,0.000516,3.205459,0.001382,149
1,10000000,500,20,1,10,0.001903,0.000634,3.206167,0.000957,149
1,10000000,625,16,1,10,0.002390,0.000687,3.206597,0.000931,151
1,10000000,1000,10,1,10,0.004131,0.001133,3.206815,0.000863,153
1,10000000,1250,8,1,10,0.005085,0.001470,3.206323,0.000972,155
1,10000000,2000,5,1,10,0.008511,0.002390,3.205203,0.000963,159
1,10000000,2500,4,1,10,0.010459,0.002486,3.205924,0.001143,163
1,10000000,5000,2,1,10,0.023702,0.008593,3.205900,0.001083,179
1,10000000,10000,1,1,10,0.052815,0.011752,3.206777,0.001023,213
